time (UTC),lux (lx),uv,1-min precip (mm),wind_lull (m/s),wind_avg (m/s),wind_gust (m/s),wind_dir (deg),solar_radiation (W m^-2),local_day_precip_accum (mm)
2019-07-21 23:00:00,,,0.0,,,,,,0.0
2019-07-21 23:05:00,11429.0,0.51,0.0,0.0,1.1,3.8,270.0,96.0,0.0
2019-07-21 23:10:00,7341.0,0.26,0.0,0.0,2.2,4.7,275.0,62.0,0.0
2019-07-21 23:15:00,4716.0,0.13,0.0,0.0,1.9,4.2,265.0,39.0,0.0
2019-07-21 23:20:00,4310.0,0.14,0.0,0.0,1.3,4.7,254.0,36.0,0.0
2019-07-21 23:25:00,4678.0,0.2,0.0,0.0,1.2,3.3,258.0,39.0,0.0
2019-07-21 23:30:00,3906.0,0.15,0.0,0.0,1.8,3.6,261.0,33.0,0.0
2019-07-21 23:35:00,3538.0,0.15,0.0,0.0,1.2,3.4,253.0,29.0,0.0
2019-07-21 23:40:00,2828.0,0.1,0.0,0.0,1.3,2.6,274.0,23.0,0.0
2019-07-21 23:45:00,2567.0,0.1,0.0,0.0,1.2,2.9,268.0,21.0,0.0
2019-07-21 23:50:00,2204.0,0.09,0.0,0.0,1.5,4.2,266.0,18.0,0.0
2019-07-21 23:55:00,1813.0,0.07,0.0,0.0,1.2,3.2,249.0,15.0,0.0
2019-07-22 00:00:00,1410.0,0.06,0.0,0.0,0.8,2.8,273.0,11.0,0.0
2019-07-22 00:05:00,955.0,0.04,0.0,0.0,1.4,3.8,241.0,8.0,0.0
2019-07-22 00:10:00,574.0,0.02,0.0,0.0,1.0,3.2,258.0,4.0,0.0
2019-07-22 00:15:00,390.0,0.02,0.0,0.0,0.8,2.6,269.0,3.0,0.0
2019-07-22 00:20:00,221.0,0.01,0.0,0.0,1.0,2.5,266.0,1.0,0.0
2019-07-22 00:25:00,137.0,0.02,0.0,0.0,0.6,2.4,285.0,1.0,0.0
2019-07-22 00:30:00,69.0,0.02,0.0,0.0,0.9,2.3,279.0,0.0,0.0
2019-07-22 00:35:00,24.0,0.0,0.0,0.0,0.8,2.3,287.0,0.0,0.0
