time (UTC),lux (lx),uv,1-min precip (mm),wind_lull (m/s),wind_avg (m/s),wind_gust (m/s),wind_dir (deg),solar_radiation (W m^-2),local_day_precip_accum (mm)
2019-05-31 00:00:00,717.0,0.03,,0.0,1.0,2.6,206,6.0,
2019-05-31 00:05:00,418.0,0.02,,0.0,1.3,3.4,192,3.0,
2019-05-31 00:10:00,224.0,0.01,,0.0,1.1,5.3,202,1.0,
2019-05-31 00:15:00,100.0,0.0,,0.0,1.1,3.1,219,0.0,
2019-05-31 00:20:00,65.0,0.0,,0.0,1.2,3.0,201,0.0,
2019-05-31 00:25:00,31.0,0.0,,0.0,1.0,3.0,204,0.0,
2019-05-31 00:30:00,16.0,0.0,,0.0,1.6,4.3,215,0.0,
2019-05-31 00:35:00,10.0,0.0,,0.0,1.5,3.9,210,0.0,
2019-05-31 00:40:00,5.0,0.0,,0.0,1.1,3.6,200,0.0,
2019-05-31 00:45:00,5.0,0.0,,0.0,1.2,2.7,207,0.0,
2019-05-31 00:50:00,4.0,0.0,,0.0,1.8,5.0,220,0.0,
2019-05-31 00:55:00,0.0,0.0,,0.0,1.8,3.9,204,0.0,
2019-05-31 01:00:00,0.0,0.0,,0.4,2.2,5.0,204,0.0,
2019-05-31 01:05:00,0.0,0.0,,0.0,2.0,4.8,210,0.0,
2019-05-31 01:10:00,0.0,0.0,,0.0,1.8,4.5,192,0.0,
2019-05-31 01:15:00,0.0,0.0,,0.0,1.1,3.0,203,0.0,
2019-05-31 01:20:00,0.0,0.0,,0.0,1.0,3.0,200,0.0,
2019-05-31 01:25:00,0.0,0.0,,0.0,1.3,3.4,194,0.0,
2019-05-31 01:30:00,0.0,0.0,,0.0,1.4,4.8,200,0.0,
2019-05-31 01:35:00,0.0,0.0,,0.0,1.7,5.1,202,0.0,
2019-05-31 01:40:00,0.0,0.0,,0.0,1.9,4.0,207,0.0,
2019-05-31 01:45:00,0.0,0.0,,0.5,1.9,3.7,204,0.0,
2019-05-31 01:50:00,0.0,0.0,,0.0,1.4,4.2,207,0.0,
