time (UTC),lux (lx),uv,1-min precip (mm),wind_lull (m/s),wind_avg (m/s),wind_gust (m/s),wind_dir (deg),solar_radiation (W m^-2),local_day_precip_accum (mm)
2019-05-31 00:00:00,426.0,0.04,,0.0,1.4,4.3,189.0,3.0,
2019-05-31 00:05:00,239.0,0.01,,0.0,1.6,4.9,194.0,2.0,
2019-05-31 00:10:00,125.0,0.0,,0.0,1.1,3.6,198.0,1.0,
2019-05-31 00:15:00,106.0,0.0,,0.0,1.5,5.0,163.0,0.0,
2019-05-31 00:20:00,52.0,0.0,,0.0,1.2,3.6,138.0,0.0,
2019-05-31 00:25:00,27.0,0.0,,0.0,1.6,4.8,172.0,0.0,
2019-05-31 00:30:00,11.0,0.0,,0.0,1.2,4.1,197.0,0.0,
2019-05-31 00:35:00,9.0,0.0,,0.0,1.4,4.3,171.0,0.0,
2019-05-31 00:40:00,4.0,0.0,,0.0,1.1,4.2,190.0,0.0,
2019-05-31 00:45:00,4.0,0.0,,0.0,0.7,3.8,210.0,0.0,
2019-05-31 00:50:00,4.0,0.0,,0.0,0.4,2.0,220.0,0.0,
2019-05-31 00:55:00,0.0,0.0,,0.0,0.5,2.3,156.0,0.0,
2019-05-31 01:00:00,0.0,0.0,,0.0,0.6,2.4,199.0,0.0,
2019-05-31 01:05:00,0.0,0.0,,0.0,0.8,3.0,166.0,0.0,
2019-05-31 01:10:00,0.0,0.0,,0.0,0.6,4.2,142.0,0.0,
2019-05-31 01:15:00,0.0,0.0,,0.0,0.9,2.9,165.0,0.0,
2019-05-31 01:20:00,0.0,0.0,,0.0,0.9,3.9,185.0,0.0,
2019-05-31 01:25:00,0.0,0.0,,0.0,0.6,2.8,203.0,0.0,
2019-05-31 01:30:00,0.0,0.0,,0.0,0.5,3.0,220.0,0.0,
2019-05-31 01:35:00,0.0,0.0,,0.0,0.3,2.5,221.0,0.0,
2019-05-31 01:40:00,0.0,0.0,,0.0,0.7,3.2,215.0,0.0,
2019-05-31 01:45:00,0.0,0.0,,0.0,0.6,3.8,206.0,0.0,
2019-05-31 01:50:00,0.0,0.0,,0.0,1.0,3.6,189.0,0.0,
2019-05-31 01:55:00,0.0,0.0,,0.0,0.8,3.4,197.0,0.0,
2019-05-31 02:00:00,0.0,0.0,,0.0,0.9,3.5,171.0,0.0,
2019-05-31 02:05:00,0.0,0.0,,0.0,0.7,3.0,194.0,0.0,
2019-05-31 02:10:00,0.0,0.0,,0.0,0.8,3.6,151.0,0.0,
2019-05-31 02:15:00,0.0,0.0,,0.0,0.6,2.1,164.0,0.0,
2019-05-31 02:20:00,0.0,0.0,,0.0,0.6,2.5,172.0,0.0,
2019-05-31 02:25:00,0.0,0.0,,0.0,0.6,2.4,202.0,0.0,
2019-05-31 02:30:00,0.0,0.0,,0.0,0.9,3.5,135.0,0.0,
2019-05-31 02:35:00,0.0,0.0,,0.0,1.0,3.1,219.0,0.0,
2019-05-31 02:40:00,0.0,0.0,,0.0,0.6,2.5,224.0,0.0,
2019-05-31 02:45:00,0.0,0.0,,0.0,0.5,2.4,198.0,0.0,
2019-05-31 02:50:00,0.0,0.0,,0.0,0.3,1.7,215.0,0.0,
2019-05-31 02:55:00,0.0,0.0,,0.0,0.3,2.3,112.0,0.0,
2019-05-31 03:00:00,0.0,0.0,,0.0,0.7,2.2,174.0,0.0,
2019-05-31 03:05:00,0.0,0.0,,0.0,0.4,1.7,133.0,0.0,
2019-05-31 03:10:00,0.0,0.0,,0.0,0.8,3.4,181.0,0.0,
2019-05-31 03:15:00,0.0,0.0,,0.0,0.4,2.5,218.0,0.0,
2019-05-31 03:20:00,0.0,0.0,,0.0,0.3,1.8,200.0,0.0,
2019-05-31 03:25:00,0.0,0.0,,0.0,0.4,1.9,174.0,0.0,
2019-05-31 03:30:00,0.0,0.0,,0.0,0.4,1.9,164.0,0.0,
2019-05-31 03:35:00,0.0,0.0,,0.0,0.1,1.2,34.0,0.0,
2019-05-31 03:40:00,0.0,0.0,,0.0,0.1,1.2,160.0,0.0,
2019-05-31 03:45:00,0.0,0.0,,0.0,0.1,1.2,87.0,0.0,
2019-05-31 03:50:00,0.0,0.0,,0.0,0.4,1.5,206.0,0.0,
2019-05-31 03:55:00,0.0,0.0,,0.0,0.2,0.9,217.0,0.0,
2019-05-31 04:00:00,0.0,0.0,,0.0,0.0,0.5,258.0,0.0,
2019-05-31 04:05:00,0.0,0.0,,0.0,0.0,1.2,344.0,0.0,
2019-05-31 04:10:00,0.0,0.0,,0.0,0.1,0.9,166.0,0.0,
2019-05-31 04:15:00,0.0,0.0,,0.0,0.1,1.3,219.0,0.0,
2019-05-31 04:20:00,0.0,0.0,,0.0,0.0,0.9,41.0,0.0,
2019-05-31 04:25:00,0.0,0.0,,0.0,0.1,1.3,109.0,0.0,
2019-05-31 04:30:00,0.0,0.0,,0.0,0.2,1.2,56.0,0.0,
2019-05-31 04:35:00,0.0,0.0,,0.0,0.2,1.0,9.0,0.0,
2019-05-31 04:40:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2019-05-31 04:45:00,0.0,0.0,,0.0,0.0,0.3,12.0,0.0,
2019-05-31 04:50:00,0.0,0.0,,0.0,0.1,1.2,38.0,0.0,
2019-05-31 04:55:00,0.0,0.0,,0.0,0.0,0.5,347.0,0.0,
2019-05-31 05:00:00,0.0,0.0,,0.0,0.0,0.6,11.0,0.0,
2019-05-31 05:05:00,0.0,0.0,,0.0,0.1,0.9,86.0,0.0,
2019-05-31 05:10:00,0.0,0.0,,0.0,0.0,0.6,12.0,0.0,
2019-05-31 05:15:00,0.0,0.0,,0.0,0.0,1.2,41.0,0.0,
