time (UTC),lux (lx),uv,1-min precip (mm),wind_lull (m/s),wind_avg (m/s),wind_gust (m/s),wind_dir (deg),solar_radiation (W m^-2),local_day_precip_accum (mm)
2019-05-31 00:00:00,453.0,0.02,,0.0,0.0,0.0,0.0,3.0,
2019-05-31 00:05:00,459.0,0.03,,0.0,0.2,1.3,4.0,3.0,
2019-05-31 00:10:00,205.0,0.01,,0.0,0.2,1.2,10.0,1.0,
2019-05-31 00:15:00,145.0,0.0,,0.0,0.1,0.9,11.0,1.0,
2019-05-31 00:20:00,75.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2019-05-31 00:25:00,36.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2019-05-31 00:30:00,18.0,0.0,,0.0,0.0,0.5,347.0,0.0,
2019-05-31 00:35:00,18.0,0.0,,0.0,0.2,1.5,36.0,0.0,
2019-05-31 00:40:00,18.0,0.0,,0.0,0.1,1.2,35.0,0.0,
2019-05-31 00:45:00,8.0,0.0,,0.0,0.3,1.5,111.0,0.0,
2019-05-31 00:50:00,4.0,0.0,,0.0,0.1,0.8,135.0,0.0,
2019-05-31 00:55:00,4.0,0.0,,0.0,0.0,0.7,5.0,0.0,
2019-05-31 01:00:00,4.0,0.0,,0.0,0.1,0.7,336.0,0.0,
2019-05-31 01:05:00,4.0,0.0,,0.0,0.0,0.6,7.0,0.0,
2019-05-31 01:10:00,4.0,0.0,,0.0,0.3,1.6,341.0,0.0,
2019-05-31 01:15:00,4.0,0.0,,0.0,0.4,2.3,280.0,0.0,
2019-05-31 01:20:00,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2019-05-31 01:25:00,4.0,0.0,,0.0,0.2,1.4,6.0,0.0,
2019-05-31 01:30:00,4.0,0.0,,0.0,0.3,1.4,307.0,0.0,
2019-05-31 01:35:00,4.0,0.0,,0.0,0.2,0.9,0.0,0.0,
2019-05-31 01:40:00,4.0,0.0,,0.0,0.1,0.9,9.0,0.0,
2019-05-31 01:45:00,2.0,0.0,,0.0,0.2,1.1,342.0,0.0,
2019-05-31 01:50:00,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2019-05-31 01:55:00,4.0,0.0,,0.0,0.1,0.8,4.0,0.0,
2019-05-31 02:00:00,4.0,0.0,,0.0,0.1,0.8,26.0,0.0,
2019-05-31 02:05:00,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2019-05-31 02:10:00,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,
2019-05-31 02:15:00,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,
